Descripcion;Precio;Precio KG;URL del producto;Url de la imagen
MATA hojaldrinas bolsa 400 gr;3.15 €;7,88 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/125266;https://s0.dia.es/medias/hab/h8e/10852615782430.jpg
RIEGELEIN figura de chocolate con leche Reyes Magos 1 ud 60 gr  (modelo aleatorio);1.00 €;16,67 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/211192;https://s1.dia.es/medias/productimages/hf7/h9d/10838882844702.jpg
DIA DULCE NOEL pastas surtidas lata 400 gr (modelo aleatorio);4.49 €;11,23 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/222602;https://s0.dia.es/medias/productimages/hf0/ha7/10860003983390.jpg
MIDEL bastón navidad de caramelo 40 gr;1.00 €;25,00 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/251795;https://s2.dia.es/medias/h14/h3a/10832066150430.jpg
DIA DULCE NOEL almendra rellena surtido 10 gr;0.13 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265616;https://s1.dia.es/medias/h78/h1f/10327365550110.jpg
DIA DULCE NOEL cortadillo cabello surtido 43 gr;0.17 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265606;https://s2.dia.es/medias/hcd/h7f/10371673751582.jpg
DIA DULCE NOEL hojaldrada clásica surtido 25 gr;0.10 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265611;https://s1.dia.es/medias/h81/h27/10371674079262.jpg
NESTLE chocolate extrafino Reyes Mayos lata 60 gr (modelo aleatorio);2.69 €;44,83 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277634;https://s2.dia.es/medias/productimages/hda/h0f/10874374750238.jpg
NESTLE lote chocolate extrafino y peluche caja 260 gr (modelo aleatorio);7.49 €;28,81 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277633;https://s0.dia.es/medias/productimages/h15/hea/10874375405598.jpg
KINDER casita mini mix navidad caja 76 gr (modelo aleatorio);2.75 €;36,18 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277298;https://s1.dia.es/medias/productimages/h03/h5b/10837613412382.jpg
NICKELODEON mix de chocolate adorno de Navidad 20 gr (modelo aleatorio);1.99 €;99,50 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277523;https://s3.dia.es/medias/productimages/h51/ha0/10864090644510.jpg
NICKELODEON mix de caramelos árbol de Navidad lata 80 gr (modelo aleatorio);3.99 €;49,88 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277524;https://s3.dia.es/medias/productimages/ha8/h8f/10864087367710.jpg
NICKELODEON mix de caramelos lata redonda 90 gr (modelo aleatorio);4.99 €;62,38 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277526;https://s2.dia.es/medias/productimages/hc0/h68/10864084746270.jpg
NICKELODEON mix de caramelos calcetín de Navidad lata 80 gr (modelo aleatorio);3.99 €;49,88 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277525;https://s2.dia.es/medias/productimages/hb3/ha6/10864094248990.jpg
DIA DULCE NOEL panettone de chocolate caja 500 gr;2.99 €;5,98 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/124134;https://s2.dia.es/medias/h11/hb3/10312494219294.jpg
DIA DULCE NOEL panettone clásico con frutas caja 500 gr;2.99 €;5,98 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/62153;https://s0.dia.es/medias/h52/h91/10312503197726.jpg
LA HORNADA DIA pandoro con chocolate bolsa 750 gr;3.99 €;5,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/224028;https://s2.dia.es/medias/productimages/hd6/hd0/10871302291486.jpg
LA HORNADA DIA panettone clásico bolsa 900 gr;3.99 €;4,43 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260753;https://s3.dia.es/medias/h1b/h86/10345850634270.jpg
LA HORNADA DIA pandoro clásico bolsa 750 gr;3.99 €;5,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260756;https://s0.dia.es/medias/h9c/h3e/10351178383390.jpg
LA HORNADA DIA mini panettone de chocolate bolsa 100 gr;0.99 €;9,90 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260757;https://s0.dia.es/medias/productimages/h35/h7a/10871280009246.jpg
IL VECCHIO panettone lata 750 gr;6.99 €;9,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/275863;https://s0.dia.es/medias/productimages/h3d/he1/10860032884766.jpg
EL MOLINO DE DIA mini panettone clásico bolsa 100 gr;0.99 €;9,90 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/278086;https://s1.dia.es/medias/productimages/h6e/h6f/10871299670046.jpg
DIA DULCE NOEL roscón de nata caja 550 gr;6.99 €;12,71 €/Kg.;/compra-online/dulces-de-navidad/roscones-de-reyes/p/278105;https://s0.dia.es/medias/productimages/h92/h0f/10885608865822.jpg
